Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764707789,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764707790,2,,Aggregated,0.000000,0.000000,12,12,12,12,12,12,12,12,12,12,12,2,2,10.267705001751892,10.89394749578787,10.267705001751892,11.520189989823848,0.0
1764707791,4,,Aggregated,0.000000,0.000000,2,10,10,12,12,12,12,12,12,12,12,5,5,2,5.443479798850603,1.7504889983683825,11.520189989823848,0.0
1764707792,6,,Aggregated,0.000000,0.000000,8,10,12,12,12,12,12,12,12,12,12,8,8,2,6.0021838726243,1.5672829904360697,11.520189989823848,0.0
1764707793,8,,Aggregated,2.500000,2.500000,2,2,8,10,12,12,12,12,12,12,12,15,15,2,3.9143436627152064,1.041223993524909,11.520189989823848,0.0
1764707794,10,,Aggregated,2.666667,2.666667,2,2,2,2,10,12,12,12,12,12,12,21,21,2,3.249065855578963,1.041223993524909,11.520189989823848,0.0
1764707795,12,,Aggregated,3.500000,3.500000,2,2,2,2,10,12,12,12,12,12,12,28,28,1.0293700033798814,2.8038692492243302,1.0293700033798814,11.520189989823848,0.0
1764707796,14,,Aggregated,3.800000,3.800000,2,2,2,2,8,12,12,12,12,12,12,34,34,1.0293700033798814,2.631072793840705,1.0293700033798814,11.520189989823848,0.0
1764707797,16,,Aggregated,4.333333,4.333333,1,2,2,2,3,10,12,12,12,12,12,46,46,1,2.3635511951515977,0.930524998693727,11.520189989823848,0.0
1764707798,18,,Aggregated,4.571429,4.571429,1,2,2,2,3,10,12,12,12,12,12,54,54,1,2.2462454807181427,0.930524998693727,11.520189989823848,0.0
1764707799,20,,Aggregated,5.625000,5.625000,1,2,2,2,2,8,12,12,12,12,12,67,67,1,2.0836309702292,0.930524998693727,11.520189989823848,0.0
1764707800,20,,Aggregated,5.666667,5.666667,1,2,2,2,2,10,12,15,15,15,15,76,76,1,2.1505046445925378,0.930524998693727,14.993450997280888,0.0
1764707801,20,,Aggregated,6.100000,6.100000,1,2,2,2,2,8,12,15,15,15,15,86,86,1,2.050526278718851,0.930524998693727,14.993450997280888,0.0
1764707802,20,,Aggregated,7.000000,7.000000,1,2,2,2,2,8,12,15,15,15,15,97,97,1,2.0365649898783738,0.930524998693727,14.993450997280888,0.0
1764707803,20,,Aggregated,7.700000,7.700000,1,2,2,2,2,4,12,12,15,15,15,108,108,1,1.9652097130515527,0.930524998693727,14.993450997280888,0.0
1764707804,20,,Aggregated,8.500000,8.500000,1,2,2,2,2,4,12,12,15,15,15,120,120,1,1.9140867498208536,0.930524998693727,14.993450997280888,0.0
1764707805,20,,Aggregated,9.100000,9.100000,1,2,2,2,2,3,12,12,15,15,15,129,129,1,1.88205763550977,0.930524998693727,14.993450997280888,0.0
1764707806,20,,Aggregated,9.500000,9.500000,1,2,2,2,2,3,12,12,15,15,15,141,141,1,1.862699474936272,0.930524998693727,14.993450997280888,0.0
1764707807,20,,Aggregated,9.800000,9.800000,1,2,2,2,2,3,12,12,15,15,15,147,147,1,1.865398054023837,0.930524998693727,14.993450997280888,0.0
1764707808,20,,Aggregated,10.300000,10.300000,1,2,2,2,2,3,10,12,15,15,15,158,158,1,1.8245752149665304,0.930524998693727,14.993450997280888,0.0
1764707809,20,,Aggregated,10.100000,10.100000,1,2,2,2,2,3,10,12,15,15,15,166,166,1,1.804361553969288,0.930524998693727,14.993450997280888,0.0
1764707810,20,,Aggregated,10.300000,10.300000,1,2,2,2,2,3,10,12,15,15,15,174,174,1,1.7979385456887886,0.930524998693727,14.993450997280888,0.0
1764707811,20,,Aggregated,10.200000,10.200000,1,2,2,2,2,3,10,12,15,15,15,188,188,1,1.7759900848490207,0.930524998693727,14.993450997280888,0.0
1764707812,20,,Aggregated,9.900000,9.900000,1,2,2,2,2,3,10,12,15,15,15,200,200,1,1.7631301598157734,0.930524998693727,14.993450997280888,0.0
1764707813,20,,Aggregated,10.300000,10.300000,1,2,2,2,2,3,8,12,15,15,15,206,206,1,1.7514605677965802,0.930524998693727,14.993450997280888,0.0
1764707814,20,,Aggregated,10.000000,10.000000,1,2,2,2,2,3,8,12,15,15,15,216,216,1,1.7668947778104296,0.930524998693727,14.993450997280888,0.0
1764707815,20,,Aggregated,9.900000,9.900000,1,2,2,2,2,3,8,12,15,15,15,228,228,1,1.7430849735606706,0.930524998693727,14.993450997280888,0.0
1764707816,20,,Aggregated,9.700000,9.700000,1,2,2,2,2,3,8,12,15,15,15,240,240,1,1.7180475499723495,0.930524998693727,14.993450997280888,0.0
1764707817,20,,Aggregated,10.000000,10.000000,1,2,2,2,2,3,8,12,15,15,15,249,249,1,1.7015763412811327,0.930524998693727,14.993450997280888,0.0
1764707818,20,,Aggregated,9.900000,9.900000,1,2,2,2,2,3,6,12,15,15,15,258,258,1,1.6885702479080218,0.930524998693727,14.993450997280888,0.0
1764707819,20,,Aggregated,10.200000,10.200000,1,2,2,2,2,3,6,12,15,15,15,269,269,1,1.6982362973594651,0.930524998693727,14.993450997280888,0.0
